2025-04-29 23:29:53,310 - INFO - Using device: cpu
2025-04-29 23:29:53,418 - INFO - Found latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,418 - INFO - Loading latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,424 - INFO - Loaded model from episode 900
2025-04-29 23:29:53,425 - INFO - Successfully loaded model and synchronized target model
2025-04-30 03:18:46,398 - INFO - Episode 1182, Total Reward: -20.0
2025-04-30 03:19:35,080 - INFO - Episode 1183, Total Reward: -21.0
2025-04-30 03:20:26,472 - INFO - Episode 1184, Total Reward: -21.0
2025-04-30 03:21:16,254 - INFO - Episode 1185, Total Reward: -21.0
2025-04-30 03:22:05,804 - INFO - Episode 1186, Total Reward: -21.0
2025-04-30 03:22:53,608 - INFO - Episode 1187, Total Reward: -21.0
2025-04-30 03:23:42,397 - INFO - Episode 1188, Total Reward: -21.0
2025-04-30 03:24:36,241 - INFO - Episode 1189, Total Reward: -19.0
2025-04-30 03:25:21,279 - INFO - Episode 1190, Total Reward: -21.0
2025-04-30 03:26:07,786 - INFO - Episode 1191, Total Reward: -21.0
2025-04-30 03:26:53,488 - INFO - Episode 1192, Total Reward: -21.0
2025-04-30 03:27:41,255 - INFO - Episode 1193, Total Reward: -21.0
2025-04-30 03:28:26,509 - INFO - Episode 1194, Total Reward: -21.0
2025-04-30 03:29:11,558 - INFO - Episode 1195, Total Reward: -21.0
2025-04-30 03:29:57,222 - INFO - Episode 1196, Total Reward: -21.0
2025-04-30 03:30:45,270 - INFO - Episode 1197, Total Reward: -21.0
2025-04-30 03:31:41,304 - INFO - Episode 1198, Total Reward: -20.0
2025-04-30 03:32:29,638 - INFO - Episode 1199, Total Reward: -21.0
2025-04-30 03:33:18,179 - INFO - Model saved at episode 1200
2025-04-30 03:33:18,179 - INFO - Episode 1200, Total Reward: -20.0
2025-04-30 03:34:07,255 - INFO - Episode 1201, Total Reward: -21.0
2025-04-30 03:34:57,581 - INFO - Episode 1202, Total Reward: -21.0
2025-04-30 03:35:44,519 - INFO - Episode 1203, Total Reward: -21.0
2025-04-30 03:36:37,542 - INFO - Episode 1204, Total Reward: -20.0
2025-04-30 03:37:25,337 - INFO - Episode 1205, Total Reward: -21.0
2025-04-30 03:38:09,008 - INFO - Episode 1206, Total Reward: -21.0
2025-04-30 03:38:53,055 - INFO - Episode 1207, Total Reward: -21.0
2025-04-30 03:39:37,365 - INFO - Episode 1208, Total Reward: -21.0
2025-04-30 03:40:21,371 - INFO - Episode 1209, Total Reward: -21.0
2025-04-30 03:41:11,827 - INFO - Episode 1210, Total Reward: -21.0
2025-04-30 03:41:55,419 - INFO - Episode 1211, Total Reward: -21.0
2025-04-30 03:42:43,223 - INFO - Episode 1212, Total Reward: -21.0
2025-04-30 03:43:27,096 - INFO - Episode 1213, Total Reward: -21.0
2025-04-30 03:44:14,193 - INFO - Episode 1214, Total Reward: -21.0
2025-04-30 03:45:05,568 - INFO - Episode 1215, Total Reward: -21.0
2025-04-30 03:45:50,244 - INFO - Episode 1216, Total Reward: -21.0
2025-04-30 03:46:35,868 - INFO - Episode 1217, Total Reward: -21.0
2025-04-30 03:47:26,162 - INFO - Episode 1218, Total Reward: -21.0
2025-04-30 03:48:10,456 - INFO - Episode 1219, Total Reward: -21.0
2025-04-30 03:48:55,390 - INFO - Episode 1220, Total Reward: -21.0
2025-04-30 03:50:00,419 - INFO - Episode 1221, Total Reward: -20.0
2025-04-30 03:50:52,762 - INFO - Episode 1222, Total Reward: -21.0
2025-04-30 03:51:36,730 - INFO - Episode 1223, Total Reward: -21.0
2025-04-30 03:52:20,577 - INFO - Episode 1224, Total Reward: -21.0
2025-04-30 03:53:09,326 - INFO - Episode 1225, Total Reward: -21.0
2025-04-30 03:53:57,948 - INFO - Episode 1226, Total Reward: -21.0
2025-04-30 03:54:45,909 - INFO - Episode 1227, Total Reward: -21.0
2025-04-30 03:55:35,199 - INFO - Episode 1228, Total Reward: -20.0
2025-04-30 03:56:19,135 - INFO - Episode 1229, Total Reward: -21.0
2025-04-30 03:57:08,411 - INFO - Episode 1230, Total Reward: -21.0
2025-04-30 03:57:53,364 - INFO - Episode 1231, Total Reward: -21.0
2025-04-30 03:58:43,477 - INFO - Episode 1232, Total Reward: -20.0
2025-04-30 03:59:29,382 - INFO - Episode 1233, Total Reward: -21.0
2025-04-30 04:00:13,406 - INFO - Episode 1234, Total Reward: -21.0
2025-04-30 04:01:00,571 - INFO - Episode 1235, Total Reward: -21.0
2025-04-30 04:01:50,916 - INFO - Episode 1236, Total Reward: -21.0
2025-04-30 04:02:40,783 - INFO - Episode 1237, Total Reward: -21.0
2025-04-30 04:03:25,544 - INFO - Episode 1238, Total Reward: -21.0
2025-04-30 04:04:10,146 - INFO - Episode 1239, Total Reward: -21.0
2025-04-30 04:04:55,676 - INFO - Episode 1240, Total Reward: -21.0
