2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 17:25:28,826 - INFO - Episode 936, Total Reward: -17.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:26:05,330 - INFO - Episode 937, Total Reward: -17.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:26:31,909 - INFO - Episode 938, Total Reward: -19.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:27:10,820 - INFO - Episode 939, Total Reward: -16.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:27:47,107 - INFO - Episode 940, Total Reward: -16.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:28:16,201 - INFO - Episode 941, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:28:50,564 - INFO - Episode 942, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:29:20,599 - INFO - Episode 943, Total Reward: -19.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:29:52,105 - INFO - Episode 944, Total Reward: -19.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:30:21,478 - INFO - Episode 945, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:30:47,914 - INFO - Episode 946, Total Reward: -18.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:31:10,725 - INFO - Episode 947, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:31:35,497 - INFO - Episode 948, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:32:11,306 - INFO - Episode 949, Total Reward: -18.0, Average Loss: 0.0018, Epsilon: 0.0100
