2025-05-15 20:11:00,174 - INFO - Using device: mps
2025-05-15 20:11:02,424 - INFO - Found latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,424 - INFO - Loading latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,433 - INFO - Loaded model from episode 2500
2025-05-15 20:11:02,433 - INFO - Successfully loaded model and synchronized target model
2025-05-15 20:11:03,915 - INFO - Updated target network at episode 2500
2025-05-15 20:35:55,280 - INFO - Episode 2592, Total Reward: -21.0, Average Loss: 0.0035, Epsilon: 0.6306
2025-05-15 20:36:13,153 - INFO - Episode 2593, Total Reward: -20.0, Average Loss: 0.0037, Epsilon: 0.6274
2025-05-15 20:36:31,672 - INFO - Episode 2594, Total Reward: -21.0, Average Loss: 0.0037, Epsilon: 0.6243
2025-05-15 20:36:52,761 - INFO - Episode 2595, Total Reward: -21.0, Average Loss: 0.0037, Epsilon: 0.6211
2025-05-15 20:37:16,822 - INFO - Episode 2596, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.6180
2025-05-15 20:37:39,349 - INFO - Episode 2597, Total Reward: -17.0, Average Loss: 0.0039, Epsilon: 0.6149
2025-05-15 20:37:56,407 - INFO - Episode 2598, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.6119
2025-05-15 20:38:14,055 - INFO - Episode 2599, Total Reward: -20.0, Average Loss: 0.0040, Epsilon: 0.6088
2025-05-15 20:38:35,250 - INFO - Model saved at episode 2600
2025-05-15 20:38:35,251 - INFO - Episode 2600, Total Reward: -20.0, Average Loss: 0.0039, Epsilon: 0.6058
2025-05-15 20:38:55,466 - INFO - Updated target network at episode 2600
2025-05-15 20:38:55,467 - INFO - Episode 2601, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.6027
2025-05-15 20:39:18,107 - INFO - Episode 2602, Total Reward: -20.0, Average Loss: 0.0168, Epsilon: 0.5997
2025-05-15 20:39:40,971 - INFO - Episode 2603, Total Reward: -18.0, Average Loss: 0.0117, Epsilon: 0.5967
2025-05-15 20:40:02,871 - INFO - Episode 2604, Total Reward: -18.0, Average Loss: 0.0097, Epsilon: 0.5937
2025-05-15 20:40:22,612 - INFO - Episode 2605, Total Reward: -20.0, Average Loss: 0.0087, Epsilon: 0.5908
2025-05-15 20:40:51,794 - INFO - Episode 2606, Total Reward: -17.0, Average Loss: 0.0075, Epsilon: 0.5878
2025-05-15 20:41:16,052 - INFO - Episode 2607, Total Reward: -18.0, Average Loss: 0.0073, Epsilon: 0.5849
2025-05-15 20:41:42,868 - INFO - Episode 2608, Total Reward: -19.0, Average Loss: 0.0070, Epsilon: 0.5820
2025-05-15 20:42:11,223 - INFO - Episode 2609, Total Reward: -17.0, Average Loss: 0.0064, Epsilon: 0.5790
2025-05-15 20:42:43,638 - INFO - Episode 2610, Total Reward: -19.0, Average Loss: 0.0063, Epsilon: 0.5762
2025-05-15 20:43:08,011 - INFO - Episode 2611, Total Reward: -18.0, Average Loss: 0.0060, Epsilon: 0.5733
2025-05-15 20:43:29,616 - INFO - Episode 2612, Total Reward: -18.0, Average Loss: 0.0058, Epsilon: 0.5704
2025-05-15 20:43:55,632 - INFO - Episode 2613, Total Reward: -16.0, Average Loss: 0.0056, Epsilon: 0.5676
2025-05-15 20:44:21,989 - INFO - Episode 2614, Total Reward: -17.0, Average Loss: 0.0057, Epsilon: 0.5647
2025-05-15 20:44:51,755 - INFO - Episode 2615, Total Reward: -19.0, Average Loss: 0.0056, Epsilon: 0.5619
2025-05-15 20:45:14,143 - INFO - Episode 2616, Total Reward: -19.0, Average Loss: 0.0054, Epsilon: 0.5591
2025-05-15 20:45:31,964 - INFO - Episode 2617, Total Reward: -21.0, Average Loss: 0.0051, Epsilon: 0.5563
2025-05-15 20:45:50,739 - INFO - Episode 2618, Total Reward: -21.0, Average Loss: 0.0048, Epsilon: 0.5535
2025-05-15 20:46:12,493 - INFO - Episode 2619, Total Reward: -19.0, Average Loss: 0.0048, Epsilon: 0.5507
2025-05-15 20:46:28,951 - INFO - Episode 2620, Total Reward: -21.0, Average Loss: 0.0046, Epsilon: 0.5480
2025-05-15 20:46:49,892 - INFO - Episode 2621, Total Reward: -21.0, Average Loss: 0.0047, Epsilon: 0.5452
2025-05-15 20:47:12,741 - INFO - Episode 2622, Total Reward: -20.0, Average Loss: 0.0050, Epsilon: 0.5425
2025-05-15 20:47:34,481 - INFO - Episode 2623, Total Reward: -19.0, Average Loss: 0.0047, Epsilon: 0.5398
2025-05-15 20:47:54,442 - INFO - Episode 2624, Total Reward: -21.0, Average Loss: 0.0043, Epsilon: 0.5371
2025-05-15 20:48:12,330 - INFO - Episode 2625, Total Reward: -19.0, Average Loss: 0.0043, Epsilon: 0.5344
2025-05-15 20:48:37,881 - INFO - Episode 2626, Total Reward: -18.0, Average Loss: 0.0045, Epsilon: 0.5318
2025-05-15 20:49:02,536 - INFO - Episode 2627, Total Reward: -18.0, Average Loss: 0.0047, Epsilon: 0.5291
2025-05-15 20:49:24,512 - INFO - Episode 2628, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.5264
2025-05-15 20:49:47,906 - INFO - Episode 2629, Total Reward: -18.0, Average Loss: 0.0049, Epsilon: 0.5238
2025-05-15 20:50:06,106 - INFO - Episode 2630, Total Reward: -20.0, Average Loss: 0.0046, Epsilon: 0.5212
2025-05-15 20:50:24,947 - INFO - Episode 2631, Total Reward: -19.0, Average Loss: 0.0043, Epsilon: 0.5186
2025-05-15 20:50:48,785 - INFO - Episode 2632, Total Reward: -18.0, Average Loss: 0.0045, Epsilon: 0.5160
2025-05-15 20:51:21,476 - INFO - Episode 2633, Total Reward: -16.0, Average Loss: 0.0047, Epsilon: 0.5134
2025-05-15 20:51:43,443 - INFO - Episode 2634, Total Reward: -19.0, Average Loss: 0.0044, Epsilon: 0.5108
2025-05-15 20:52:08,692 - INFO - Episode 2635, Total Reward: -20.0, Average Loss: 0.0046, Epsilon: 0.5083
2025-05-15 20:52:30,737 - INFO - Episode 2636, Total Reward: -17.0, Average Loss: 0.0046, Epsilon: 0.5058
2025-05-15 20:52:49,689 - INFO - Episode 2637, Total Reward: -21.0, Average Loss: 0.0045, Epsilon: 0.5032
2025-05-15 20:53:08,705 - INFO - Episode 2638, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.5007
2025-05-15 20:53:39,168 - INFO - Episode 2639, Total Reward: -19.0, Average Loss: 0.0042, Epsilon: 0.4982
2025-05-15 20:54:05,301 - INFO - Episode 2640, Total Reward: -18.0, Average Loss: 0.0041, Epsilon: 0.4957
2025-05-15 20:54:27,413 - INFO - Episode 2641, Total Reward: -20.0, Average Loss: 0.0041, Epsilon: 0.4932
2025-05-15 20:54:50,437 - INFO - Episode 2642, Total Reward: -19.0, Average Loss: 0.0043, Epsilon: 0.4908
2025-05-15 20:55:11,183 - INFO - Episode 2643, Total Reward: -20.0, Average Loss: 0.0041, Epsilon: 0.4883
2025-05-15 20:55:32,138 - INFO - Episode 2644, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.4859
2025-05-15 20:55:51,607 - INFO - Episode 2645, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.4834
2025-05-15 20:56:11,438 - INFO - Episode 2646, Total Reward: -19.0, Average Loss: 0.0041, Epsilon: 0.4810
2025-05-15 20:56:37,468 - INFO - Episode 2647, Total Reward: -19.0, Average Loss: 0.0045, Epsilon: 0.4786
2025-05-15 20:57:00,636 - INFO - Episode 2648, Total Reward: -18.0, Average Loss: 0.0045, Epsilon: 0.4762
2025-05-15 20:57:25,672 - INFO - Episode 2649, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.4738
2025-05-15 20:57:49,656 - INFO - Episode 2650, Total Reward: -19.0, Average Loss: 0.0047, Epsilon: 0.4715
2025-05-15 20:58:22,834 - INFO - New best model saved with reward: -15.0
2025-05-15 20:58:22,837 - INFO - Episode 2651, Total Reward: -15.0, Average Loss: 0.0046, Epsilon: 0.4691
2025-05-15 20:58:48,662 - INFO - Episode 2652, Total Reward: -17.0, Average Loss: 0.0045, Epsilon: 0.4668
2025-05-15 20:59:14,000 - INFO - Episode 2653, Total Reward: -15.0, Average Loss: 0.0045, Epsilon: 0.4644
2025-05-15 20:59:35,690 - INFO - Episode 2654, Total Reward: -19.0, Average Loss: 0.0044, Epsilon: 0.4621
2025-05-15 20:59:57,700 - INFO - Episode 2655, Total Reward: -18.0, Average Loss: 0.0046, Epsilon: 0.4598
2025-05-15 21:00:18,184 - INFO - Episode 2656, Total Reward: -18.0, Average Loss: 0.0044, Epsilon: 0.4575
2025-05-15 21:00:39,661 - INFO - Episode 2657, Total Reward: -20.0, Average Loss: 0.0042, Epsilon: 0.4552
2025-05-15 21:01:00,388 - INFO - Episode 2658, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.4529
2025-05-15 21:01:23,079 - INFO - Episode 2659, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.4507
2025-05-15 21:01:42,444 - INFO - Episode 2660, Total Reward: -21.0, Average Loss: 0.0044, Epsilon: 0.4484
2025-05-15 21:02:08,540 - INFO - Episode 2661, Total Reward: -18.0, Average Loss: 0.0045, Epsilon: 0.4462
2025-05-15 21:02:32,372 - INFO - Episode 2662, Total Reward: -18.0, Average Loss: 0.0044, Epsilon: 0.4440
2025-05-15 21:02:51,526 - INFO - Episode 2663, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.4417
2025-05-15 21:03:14,987 - INFO - Episode 2664, Total Reward: -19.0, Average Loss: 0.0042, Epsilon: 0.4395
2025-05-15 21:03:39,656 - INFO - Episode 2665, Total Reward: -17.0, Average Loss: 0.0048, Epsilon: 0.4373
2025-05-15 21:03:58,402 - INFO - Episode 2666, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.4351
2025-05-15 21:04:24,447 - INFO - Episode 2667, Total Reward: -19.0, Average Loss: 0.0041, Epsilon: 0.4330
2025-05-15 21:04:44,722 - INFO - Episode 2668, Total Reward: -19.0, Average Loss: 0.0045, Epsilon: 0.4308
2025-05-15 21:05:05,358 - INFO - Episode 2669, Total Reward: -19.0, Average Loss: 0.0041, Epsilon: 0.4286
2025-05-15 21:05:24,321 - INFO - Episode 2670, Total Reward: -20.0, Average Loss: 0.0041, Epsilon: 0.4265
2025-05-15 21:05:49,436 - INFO - Episode 2671, Total Reward: -18.0, Average Loss: 0.0041, Epsilon: 0.4244
2025-05-15 21:06:16,361 - INFO - Episode 2672, Total Reward: -19.0, Average Loss: 0.0042, Epsilon: 0.4223
2025-05-15 21:06:42,691 - INFO - Episode 2673, Total Reward: -18.0, Average Loss: 0.0044, Epsilon: 0.4201
2025-05-15 21:07:08,118 - INFO - Episode 2674, Total Reward: -17.0, Average Loss: 0.0044, Epsilon: 0.4180
2025-05-15 21:07:28,664 - INFO - Episode 2675, Total Reward: -19.0, Average Loss: 0.0040, Epsilon: 0.4159
2025-05-15 21:07:49,632 - INFO - Episode 2676, Total Reward: -19.0, Average Loss: 0.0040, Epsilon: 0.4139
2025-05-15 21:08:18,421 - INFO - Episode 2677, Total Reward: -17.0, Average Loss: 0.0043, Epsilon: 0.4118
2025-05-15 21:08:39,980 - INFO - Episode 2678, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.4097
2025-05-15 21:09:01,586 - INFO - Episode 2679, Total Reward: -20.0, Average Loss: 0.0039, Epsilon: 0.4077
2025-05-15 21:09:28,184 - INFO - Episode 2680, Total Reward: -20.0, Average Loss: 0.0042, Epsilon: 0.4057
2025-05-15 21:09:54,022 - INFO - Episode 2681, Total Reward: -19.0, Average Loss: 0.0045, Epsilon: 0.4036
2025-05-15 21:10:21,847 - INFO - Episode 2682, Total Reward: -17.0, Average Loss: 0.0042, Epsilon: 0.4016
2025-05-15 21:10:46,701 - INFO - Episode 2683, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.3996
2025-05-15 21:11:11,921 - INFO - Episode 2684, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.3976
2025-05-15 21:11:33,639 - INFO - Episode 2685, Total Reward: -21.0, Average Loss: 0.0043, Epsilon: 0.3956
2025-05-15 21:12:02,106 - INFO - Episode 2686, Total Reward: -17.0, Average Loss: 0.0044, Epsilon: 0.3936
2025-05-15 21:12:26,098 - INFO - Episode 2687, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.3917
2025-05-15 21:12:51,149 - INFO - Episode 2688, Total Reward: -19.0, Average Loss: 0.0043, Epsilon: 0.3897
2025-05-15 21:13:23,499 - INFO - Episode 2689, Total Reward: -15.0, Average Loss: 0.0043, Epsilon: 0.3878
2025-05-15 21:13:48,324 - INFO - Episode 2690, Total Reward: -19.0, Average Loss: 0.0041, Epsilon: 0.3858
2025-05-15 21:14:16,140 - INFO - Episode 2691, Total Reward: -18.0, Average Loss: 0.0043, Epsilon: 0.3839
2025-05-15 21:14:36,056 - INFO - Episode 2692, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.3820
2025-05-15 21:14:55,788 - INFO - Episode 2693, Total Reward: -20.0, Average Loss: 0.0045, Epsilon: 0.3801
2025-05-15 21:15:24,474 - INFO - Episode 2694, Total Reward: -17.0, Average Loss: 0.0042, Epsilon: 0.3782
2025-05-15 21:15:49,736 - INFO - Episode 2695, Total Reward: -18.0, Average Loss: 0.0040, Epsilon: 0.3763
2025-05-15 21:16:18,019 - INFO - Episode 2696, Total Reward: -16.0, Average Loss: 0.0042, Epsilon: 0.3744
2025-05-15 21:16:37,760 - INFO - Episode 2697, Total Reward: -20.0, Average Loss: 0.0041, Epsilon: 0.3725
2025-05-15 21:16:58,269 - INFO - Episode 2698, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.3707
2025-05-15 21:17:35,517 - INFO - New best model saved with reward: -12.0
2025-05-15 21:17:35,520 - INFO - Episode 2699, Total Reward: -12.0, Average Loss: 0.0039, Epsilon: 0.3688
2025-05-15 21:18:00,663 - INFO - Model saved at episode 2700
2025-05-15 21:18:00,664 - INFO - Episode 2700, Total Reward: -16.0, Average Loss: 0.0042, Epsilon: 0.3670
2025-05-15 21:18:21,654 - INFO - Updated target network at episode 2700
2025-05-15 21:18:21,657 - INFO - Episode 2701, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.3651
2025-05-15 21:18:49,778 - INFO - Episode 2702, Total Reward: -16.0, Average Loss: 0.0205, Epsilon: 0.3633
2025-05-15 21:19:18,648 - INFO - Episode 2703, Total Reward: -18.0, Average Loss: 0.0132, Epsilon: 0.3615
